docid,word_count,pos_count,neg_count,ISBN,Copyright,Committee member,University location,Source,Department,Degree date,Title,Document type,Degree,Dissertation/thesis number,Author,Advisor,Country of publication,Number of pages,Language,Database,School code,Publication year,Identifier / keyword,Document URL,Place of publication,Classification,University/institution,Source type,Subject
1417068027,0,0,0,9781303185069,Copyright ProQuest UMI Dissertations Publishing 2013,Extavour Cassandra G.;Hoekstra Hopi E.;Pringle Anne,United States -- Massachusetts,DAI-B 74/10(E) Apr 2014,Biology Organismic and Evolutionary,2013,Patterns of molecular evolution and epistasis on a genomic and genic scale,Dissertation/Thesis,Ph.D.,3566939,Jiang Pan-Pan,Hartl Daniel L.;Hartl Daniel L.,United States,135,English,ProQuest Dissertations & Theses Full Text,0084,2013,Biological sciences;Drug resistance;Epistasis;Heterochromatin;Malaria;Y chromosome;Biological sciences;Drug resistance;Epistasis;Heterochromatin;Malaria;Y chromosome,http://search.proquest.com/docview/1417068027?accountid=13314,Ann Arbor,0307: Molecular biology;0369: Genetics;0412: Evolution and Development,Harvard University,Dissertations & Theses,Molecular biology;Genetics;Evolution and Development
1432343963,399,37,1,9781303297502,Copyright ProQuest UMI Dissertations Publishing 2013,Glazman Leonid;Stone A. Douglas;DeMille David,United States -- Connecticut,DAI-B 74/10(E) Apr 2014,Physics,2013,Cold Atomic Fermi Gases: Effective Interactions and Quantum Monte Carlo Studies,Dissertation/Thesis,Ph.D.,3571952,Gilbreth Christopher Newman,Alhassid Yoram;Alhassid Yoram,United States,154,English,ProQuest Dissertations & Theses Full Text,0265,2013,Pure sciences;Cold atomic Fermi gases;Quantum gases;Effective interactions;Quantum Monte Carlo;Fermi degeneracy;Superfluids;Pure sciences;Cold atomic Fermi gases;Quantum gases;Effective interactions;Quantum Monte Carlo;Fermi degeneracy;Superfluids,http://search.proquest.com/docview/1432343963?accountid=13314,Ann Arbor,0599: Quantum physics;0748: Atoms & subatomic particles;0753: Theoretical physics,Yale University,Dissertations & Theses,Quantum physics;Atoms & subatomic particles;Theoretical physics
1432381539,883,88,3,9781303298837,Copyright ProQuest UMI Dissertations Publishing 2013,Dileone Ralph;Salamore John;Lombroso Paul,United States -- Connecticut,DAI-B 74/11(E) May 2014,Interdepartmental Neuroscience,2013,The formation and expression of addiction related behaviors: Cortico-limbic-striatal circuitry in flexible reward-seeking,Dissertation/Thesis,Ph.D.,3571992,Barker Jacqueline M.,Taylor Jane;Taylor Jane,United States,182,English,ProQuest Dissertations & Theses Full Text,0265,2013,Biological sciences;Psychology;Addiction;Cortico-limbic-striatal circuitry;Inflexible reward-seeking;Alcohol;Biological sciences;Psychology;Addiction;Cortico-limbic-striatal circuitry;Inflexible reward-seeking;Alcohol,http://search.proquest.com/docview/1432381539?accountid=13314,Ann Arbor,0317: Neurosciences;0602: Behavioral Sciences,Yale University,Dissertations & Theses,Neurosciences;Behavioral Sciences
763161232,973,82,5,9781124304137,Copyright ProQuest UMI Dissertations Publishing 2010,,United States -- Rhode Island,DAI-B 71/11 May 2011,,2010,Detailed Human Shape and Pose from Images,Dissertation/Thesis,Ph.D.,3430086,Balan Alexandru O.,Black Michael J.;Black Michael J.,United States,167,English,ProQuest Dissertations & Theses Full Text,0024,2010,Applied sciences;Shape representation;Pose estimation;Synchronized cameras;Applied sciences;Shape representation;Pose estimation;Synchronized cameras,http://search.proquest.com/docview/763161232?accountid=13314,Ann Arbor,0984: Computer science,Brown University,Dissertations & Theses,Computer science
1465059867,1094,57,7,9781303502361,Copyright ProQuest UMI Dissertations Publishing 2013,Armitage David;Johnson Walter,United States -- Massachusetts,DAI-A 75/02(E) Aug 2014,History,2013,Americans on Paper: Identity and Identification in the American Revolution,Dissertation/Thesis,Ph.D.,3600182,Huffman John Michael,Chaplin Joyce E.;Chaplin Joyce E.,United States,387,English,ProQuest Dissertations & Theses Full Text,0084,2013,Social sciences;American Revolution;Identification;Identity;Letters of introduction;Passes;Passports;Social sciences;American Revolution;Identification;Identity;Letters of introduction;Passes;Passports,http://search.proquest.com/docview/1465059867?accountid=13314,Ann Arbor,0337: American history,Harvard University,Dissertations & Theses,American history
1416421847,610,45,4,9781303147364,Copyright ProQuest UMI Dissertations Publishing 2013,Doms Robert W.;Hensley Scott E.;Hoxie James A.;Collman Ronald G.,United States -- Pennsylvania,DAI-B 74/10(E) Apr 2014,Cell and Molecular Biology,2013,Phenotypic characteristics of mucosally transmitted HIV-1,Dissertation/Thesis,Ph.D.,3565204,Parrish Nicholas F.,Hahn Beatrice H.;Hahn Beatrice H.,United States,249,English,ProQuest Dissertations & Theses Full Text,0175,2013,Biological sciences;Transmitted HIV-1;Mucosal transmission;HIV-1 infections;Glycoproteins;Receptor and coreceptor interactions;Biological sciences;Transmitted HIV-1;Mucosal transmission;HIV-1 infections;Glycoproteins;Receptor and coreceptor interactions,http://search.proquest.com/docview/1416421847?accountid=13314,Ann Arbor,0307: Molecular biology;0720: Virology,University of Pennsylvania,Dissertations & Theses,Molecular biology;Virology
1351367375,142,19,1,9781303030888,Copyright ProQuest UMI Dissertations Publishing 2013,,United States -- New York,DAI-B 74/08(E) Feb 2014,TC: Measurement and Evaluation,2013,A Bayesian Multidimensional Scaling Model for Partial Rank Preference Data,Dissertation/Thesis,Ph.D.,3558629,Tanaka Kyoko,Johnson Matthew;Johnson Matthew,United States,129,English,ProQuest Dissertations & Theses Full Text,0054,2013,Pure sciences;Psychology;Preference data;Bayesian models;Multidimensional scaling;Rank;Pure sciences;Psychology;Preference data;Bayesian models;Multidimensional scaling;Rank,http://search.proquest.com/docview/1351367375?accountid=13314,Ann Arbor,0463: Statistics;0632: Quantitative psychology,Columbia University,Dissertations & Theses,Statistics;Quantitative psychology
1416413543,0,0,0,9781303175787,Copyright ProQuest UMI Dissertations Publishing 2013,Tobacman Jeremy;Mitchell Olivia S.;Cole Shawn,United States -- Pennsylvania,DAI-A 74/10(E) Apr 2014,Applied Economics,2013,Essays in development economics,Dissertation/Thesis,Ph.D.,3566411,Shah Vivek,Tobacman Jeremy;Tobacman Jeremy,United States,145,English,ProQuest Dissertations & Theses Full Text,0175,2013,Social sciences;Development economics;Impact evaluation;Insurance;Microinsurance;Risk management;India;Farmers;Social sciences;Development economics;Impact evaluation;Insurance;Microinsurance;Risk management;India;Farmers,http://search.proquest.com/docview/1416413543?accountid=13314,Ann Arbor,0501: Economics;0503: Agricultural economics,University of Pennsylvania,Dissertations & Theses,Economics;Agricultural economics
1498126323,0,0,0,9781303678387,Copyright ProQuest UMI Dissertations Publishing 2013,Prince Gerald;Goulet Andrea,United States -- Pennsylvania,DAI-A 75/05(E) Nov 2014,Romance Languages,2013,Heirs of the Round Table: French Arthurian fiction from 1977 to the present,Dissertation/Thesis,Ph.D.,3609123,Bornschein Anne N.,Brownlee Kevin;Brownlee Kevin,United States,294,English,ProQuest Dissertations & Theses Full Text,0175,2013,Language literature and linguistics;Arthurian fiction;Fiction;French;Modern;Romance;Language literature and linguistics;Arthurian fiction;Fiction;French;Modern;Romance,http://search.proquest.com/docview/1498126323?accountid=13314,Ann Arbor,0297: Medieval literature;0298: Modern literature;0313: Romance literature,University of Pennsylvania,Dissertations & Theses,Medieval literature;Modern literature;Romance literature
1506166455,133,9,2,9781303748745,Copyright ProQuest UMI Dissertations Publishing 2014,Chernoff David;Nicholson Phil;Lovelace Richard,United States -- New York,DAI-B 75/06(E) Dec 2014,Astronomy,2014,Dynamical tides and oscillations in star and planetary systems,Dissertation/Thesis,Ph.D.,3579077,Fuller James Woodrow,Lai Dong;Lai Dong,United States,293,English,ProQuest Dissertations & Theses Full Text,0058,2014,Pure sciences;White dwarfs;Stellar oscillation;Binary stars;Giant planets;Tidal effects;Saturn rings;Pure sciences;White dwarfs;Stellar oscillation;Binary stars;Giant planets;Tidal effects;Saturn rings,http://search.proquest.com/docview/1506166455?accountid=13314,Ann Arbor,0596: Astrophysics;0606: Astronomy,Cornell University,Dissertations & Theses,Astrophysics;Astronomy
